Id,Rol,Sexo,Edad,Fecha fallecimiento,Rango edad,Num víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Xy (caba),Pos x,Pos y,Participantes,Victima,Acusado,Coordenada x,Coordenada y,Barrios,Día semana
2018-0110,PEATON,MASCULINO,60,2018-10-14,Entre 61-80,1.0,2018-10-13,2018.0,10.0,13.0,03:05:00,3.0,"Corrientes Av. y Gallardo, Angel Av.",AVENIDA,CORRIENTES AV.,"GALLARDO, ANGEL AV.","CORRIENTES AV. y GALLARDO, ANGEL AV.",Comuna 15,Point (102852.69197214 103016.76479974),-58.43220014,-34.60207186,PEATON-MOTO,PEATON,MOTO,102852.69197214,103016.76479974,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Sabado
2018-0111,CONDUCTOR,MASCULINO,28,2018-10-19, Entre 21- 40,1.0,2018-10-19,2018.0,10.0,19.0,12:13:00,12.0,AU Perito Moreno y Av. Eva Perón SENTIDO CENTRO,AUTOPISTA,AUTOPISTA PERITO MORENO,,"AUTOPISTA PERITO MORENO & PERON, EVA  AV.",Comuna 9,Point (99423.87045126 97756.09331484),-58.46958442,-34.64949724,MOTO-CARGAS,MOTO,CARGAS,99423.87045126,97756.09331484,LINIERS - MATADEROS - PARQUE AVELLANEDA,Viernes
2018-0112,CONDUCTOR,FEMENINO,28,2018-10-24, Entre 21- 40,1.0,2018-10-24,2018.0,10.0,24.0,09:18:00,9.0,Muñecas y Serrano,CALLE,MU?ECAS,SERRANO,MUÃ‘ECAS y SERRANO,Comuna 15,Point (101521.41058610 103279.18839709),-58.44671397,-34.59970903,MOTO-CARGAS,MOTO,CARGAS,101521.4105861,103279.18839709,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Miercoles
2018-0113,CONDUCTOR,MASCULINO,20,2018-10-25, Entre 21- 40,1.0,2018-10-25,2018.0,10.0,25.0,11:00:00,11.0,"Artigas, Jose Gervasio, Gral. y Tres Arroyos",CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.",TRES ARROYOS,"ARTIGAS, JOSE GERVASIO, GRAL. y TRES ARROYOS",Comuna 11,Point (99245.93828707 101610.8222803),-58.47152163,-34.61474911,MOTO-CARGAS,MOTO,CARGAS,99245.93828707,101610.8222803,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Jueves
2018-0114,CONDUCTOR,MASCULINO,23,2018-10-30, Entre 21- 40,1.0,2018-10-30,2018.0,10.0,30.0,02:15:00,2.0,Solis e Independencia Av.,AVENIDA,SOLIS,INDEPENDENCIA AV.,SOLIS e INDEPENDENCIA AV.,Comuna 1,Point (106692.15004353 101239.02351805),-58.39032921,-34.61807951,MOTO-AUTO,MOTO,AUTO,106692.15004353,101239.02351805,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Martes
2018-0115,PEATON,MASCULINO,42,2018-11-01,Entre 41-60,1.0,2018-10-31,2018.0,10.0,31.0,12:30:00,12.0,"Bosch, Ventura y Paz, Gral. Av.",CALLE,"BOSCH, VENTURA","PAZ, GRAL. AV.","BOSCH, VENTURA y PAZ, GRAL. AV.",Comuna 9,Point (93987.63954589 98477.26093452),-58.52887773,-34.64297861,PEATON-PASAJEROS,PEATON,PASAJEROS,93987.63954589,98477.26093452,LINIERS - MATADEROS - PARQUE AVELLANEDA,Miercoles
2018-0116,PEATON,MASCULINO,48,2018-11-08,Entre 41-60,1.0,2018-11-01,2018.0,11.0,1.0,10:50:00,10.0,"Paz, Gral. Av. 14800",GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 14800",Comuna 8,Point (97213.03214767 94392.58930391),-58.49371157,-34.67981324,PEATON-CARGAS,PEATON,CARGAS,97213.03214767,94392.58930391,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Jueves
2018-0117,CONDUCTOR,MASCULINO,30,2018-11-08, Entre 21- 40,1.0,2018-11-04,2018.0,11.0,4.0,08:15:00,8.0,Av. Eva Perón 5321,AVENIDA,"PERON, EVA AV.",,"PERON, EVA AV. 5321",Comuna 9,Point (98224.84159668 96577.14272605),-58.48266599,-34.66012327,MOTO-MOTO,MOTO,MOTO,98224.84159668,96577.14272605,LINIERS - MATADEROS - PARQUE AVELLANEDA,Domingo
2018-0118,PEATON,FEMENINO,80,2018-11-05,Más de 80,1.0,2018-11-05,2018.0,11.0,5.0,14:49:00,14.0,"Peron, Juan Domingo, Tte. General y Pueyrredon Av.",AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",PUEYRREDON AV.,"PERON, JUAN DOMINGO, TTE. GENERAL y PUEYRREDON AV.",Comuna 3,Point (105244.38396064 102386.61371612),-58.40612253,-34.60774301,PEATON-MOTO,PEATON,MOTO,105244.38396064,102386.61371612,BALVANERA - SAN CRISTOBAL,Lunes
2018-0119,PEATON,FEMENINO,32,2018-11-06, Entre 21- 40,1.0,2018-11-05,2018.0,11.0,5.0,22:35:00,22.0,Rabanal y San Pedrito,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",SAN PEDRITO,"RABANAL, FRANCISCO, INTENDENTE AV. y SAN PEDRITO",Comuna 8,Point (102489.86457298 96266.15892101),-58.43613623,-34.66292532,PEATON-SD,PEATON,SD,102489.86457298,96266.15892101,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Lunes
2018-0120,PEATON,FEMENINO,51,2018-11-20,Entre 41-60,1.0,2018-11-09,2018.0,11.0,9.0,13:34:00,13.0,Monroe y Alvarez Thomas Av.,AVENIDA,MONROE,ALVAREZ THOMAS AV.,MONROE y ALVAREZ THOMAS AV.,Comuna 12,Point (98237.46824855 106343.83342545),-58.48250732,-34.57208238,PEATON-AUTO,PEATON,AUTO,98237.46824855,106343.83342545,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Viernes
2018-0121,PEATON,FEMENINO,72,2018-11-09,Entre 61-80,1.0,2018-11-09,2018.0,11.0,9.0,16:32:00,16.0,Rivadavia Av. y Manzoni,AVENIDA,RIVADAVIA AV.,MANZONI,RIVADAVIA AV. y MANZONI,Comuna 10,Point (96684.78779898 99093.85665638),-58.49945705,-34.6374328,PEATON-PASAJEROS,PEATON,PASAJEROS,96684.78779898,99093.85665638,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Viernes
2018-0122,CONDUCTOR,MASCULINO,33,2018-11-12, Entre 21- 40,1.0,2018-11-12,2018.0,11.0,12.0,01:00:00,1.0,AU Dellepiane Luis Tte. Gral. y Larrazabal,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,LARRAZABAL,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y LARRAZABAL,Comuna 8,Point (98704.10681045 95222.62689520),-58.47743966,-34.67233407,AUTO-AUTO,AUTO,AUTO,98704.10681045,95222.6268952,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Lunes
2018-0123,CONDUCTOR,MASCULINO,25,2018-11-12, Entre 21- 40,1.0,2018-11-12,2018.0,11.0,12.0,03:32:00,3.0,"Paz, Gral. Av. y Peron, Eva Av.",GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.","PAZ, GRAL. AV. y PERON, EVA AV.",Comuna 9,Point (96405.76679348 94981.38013791),-58.5025179,-34.67450313,AUTO-SD,AUTO,SD,96405.76679348,94981.38013791,LINIERS - MATADEROS - PARQUE AVELLANEDA,Lunes
2018-0124,CONDUCTOR,MASCULINO,44,2018-11-15,Entre 41-60,1.0,2018-11-15,2018.0,11.0,15.0,19:40:00,19.0,AU Perito Moreno y Reservistas Argentinos,AUTOPISTA,AUTOPISTA PERITO MORENO,,AUTOPISTA PERITO MORENO y RESERVISTAS ARGENTINOS,Comuna 9,Point (94668.77734942 99160.32825286),-58.52144411,-34.63682499,CARGAS-CARGAS,CARGAS,CARGAS,94668.77734942,99160.32825286,LINIERS - MATADEROS - PARQUE AVELLANEDA,Jueves
2018-0125,PEATON,MASCULINO,29,2018-11-17, Entre 21- 40,1.0,2018-11-16,2018.0,11.0,16.0,21:12:00,21.0,Saenz Av. y Ventana,AVENIDA,SAENZ AV.,VENTANA,SAENZ AV. y VENTANA,Comuna 4,Point (104289.92773867 97606.13539657),-58.41650465,-34.65084045,PEATON-PASAJEROS,PEATON,PASAJEROS,104289.92773867,97606.13539657,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Viernes
2018-0126,CONDUCTOR,MASCULINO,27,2018-11-23, Entre 21- 40,1.0,2018-11-18,2018.0,11.0,18.0,12:11:00,12.0,Avda. General Paz y Cnel. Ramón Falcón,GRAL PAZ,"PAZ, GRAL. AV.","FALCON, RAMON L.,CNEL.","PAZ, GRAL. AV. y FALCON, RAMON L.,CNEL.",Comuna 9,Point (93889.86789861 98745.59348173),-58.52994219,-34.64055918,MOTO-AUTO,MOTO,AUTO,93889.86789861,98745.59348173,LINIERS - MATADEROS - PARQUE AVELLANEDA,Domingo
2018-0127,CONDUCTOR,MASCULINO,29,2018-11-19, Entre 21- 40,1.0,2018-11-19,2018.0,11.0,19.0,09:14:00,9.0,Av. Gral. Paz y Av. de los Constituyentes,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CONSTITUYENTES AV.,"PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",Comuna 12,Point (95720.94836751 106663.03756022),-58.50993046,-34.56919739,MOTO-MOTO,MOTO,MOTO,95720.94836751,106663.03756022,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Lunes
2018-0128,PASAJERO_ACOMPAÑANTE,MASCULINO,49,2018-11-25,Entre 41-60,2.0,2018-11-25,2018.0,11.0,25.0,04:30:00,4.0,"Paz, Gral. Av. 11200",GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 11200",Comuna 9,Point (94027.41355272 98150.01779732),-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS,94027.41355272,98150.01779732,LINIERS - MATADEROS - PARQUE AVELLANEDA,Domingo
2018-0128,PASAJERO_ACOMPAÑANTE,FEMENINO,39,2018-11-25, Entre 21- 40,2.0,2018-11-25,2018.0,11.0,25.0,04:30:00,4.0,"Paz, Gral. Av. 11200",GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 11200",Comuna 9,Point (94027.41355272 98150.01779732),-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS,94027.41355272,98150.01779732,LINIERS - MATADEROS - PARQUE AVELLANEDA,Domingo
2018-0129,CONDUCTOR,MASCULINO,37,2018-11-30, Entre 21- 40,1.0,2018-11-28,2018.0,11.0,28.0,04:01:00,4.0,"Newbery, Jorge Av. y Guevara",AVENIDA,"NEWBERY, JORGE AV.",GUEVARA,"NEWBERY, JORGE AV. y GUEVARA",Comuna 15,Point (101200.55632600 104694.24798650),-58.45021367,-34.58695347,MOTO-PASAJEROS,MOTO,PASAJEROS,101200.556326,104694.2479865,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Miercoles
2018-0130,CONDUCTOR,MASCULINO,0,2018-12-03,Menos de 20,1.0,2018-12-03,2018.0,12.0,3.0,03:00:00,3.0,Gaona Av. y Segurola Av.,AVENIDA,GAONA AV.,SEGUROLA AV.,GAONA AV. y SEGUROLA AV.,Comuna 10,Point (97531.36286491 100173.61049110),-58.49022072,-34.62770192,MOTO-PASAJEROS,MOTO,PASAJEROS,97531.36286491,100173.6104911,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Lunes
2018-0131,CONDUCTOR,MASCULINO,29,2018-12-07, Entre 21- 40,1.0,2018-12-07,2018.0,12.0,7.0,19:10:00,19.0,"Madero, Eduardo Av. 550",AVENIDA,"MADERO, EDUARDO AV.",,"MADERO, EDUARDO AV. 550",Comuna 1,Point (108685.90894590 103124.78289557),-58.36860866,-34.60106568,MOTO-CARGAS,MOTO,CARGAS,108685.9089459,103124.78289557,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Viernes
2018-0132,PEATON,MASCULINO,70,2018-12-12,Entre 61-80,1.0,2018-12-12,2018.0,12.0,12.0,08:26:00,8.0,"AU Arturo Illia y Castillo, Ramon S.",AUTOPISTA,AUTOPISTA ARTURO ILLIA,"CASTILLO, RAMON S., PRES. AV.","AUTOPISTA ARTURO ILLIA y CASTILLO, RAMON S., PRES. AV.",Comuna 2,Point (106275.90279188 106304.98623165),-58.39490504,-34.57241534,PEATON-CARGAS,PEATON,CARGAS,106275.90279188,106304.98623165,RECOLETA,Miercoles
2018-0133,PEATON,FEMENINO,60,2018-12-12,Entre 61-80,1.0,2018-12-12,2018.0,12.0,12.0,14:07:00,14.0,Nazca Av. y Rivadavia Av.,AVENIDA,NAZCA AV.,RIVADAVIA AV.,NAZCA AV. y RIVADAVIA AV.,Comuna 7,Point (99418.67591727 99840.67619219),-58.46963952,-34.63070603,PEATON-CARGAS,PEATON,CARGAS,99418.67591727,99840.67619219,FLORES - PARQUE CHACABUCO,Miercoles
2018-0134,PEATON,MASCULINO,56,2018-12-13,Entre 41-60,1.0,2018-12-12,2018.0,12.0,12.0,21:00:00,21.0,La Plata Av. y Caseros Av.,AVENIDA,LA PLATA AV.,CASEROS AV.,LA PLATA AV. y CASEROS AV.,Comuna 7,Point (103649.67568294 98786.92074818),-58.42349365,-34.64019887,PEATON-MOTO,PEATON,MOTO,103649.67568294,98786.92074818,FLORES - PARQUE CHACABUCO,Miercoles
2018-0135,PEATON,MASCULINO,80,2018-12-22,Más de 80,1.0,2018-12-18,2018.0,12.0,18.0,14:40:00,14.0,Belgrano Av. y Peru,AVENIDA,BELGRANO AV.,PERU,BELGRANO AV. y PERU,Comuna 1,Point (108124.38297421 101840.19801704),-58.37471802,-34.61265002,PEATON-PASAJEROS,PEATON,PASAJEROS,108124.38297421,101840.19801704,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Martes
2018-0136,PEATON,FEMENINO,70,2018-12-18,Entre 61-80,1.0,2018-12-18,2018.0,12.0,18.0,15:42:00,15.0,Rivadavia Av. 7013,AVENIDA,RIVADAVIA AV.,,RIVADAVIA AV. 7013,Comuna 7,Point (99900.22869225 100014.51595495),-58.46438789,-34.62913916,PEATON-PASAJEROS,PEATON,PASAJEROS,99900.22869225,100014.51595495,FLORES - PARQUE CHACABUCO,Martes
2018-0137,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2018-12-19, Entre 21- 40,1.0,2018-12-18,2018.0,12.0,18.0,20:15:00,20.0,Adolfo Alsina y Santiago del Estero,CALLE,"ALSINA, ADOLFO",SANTIAGO DEL ESTERO,"ALSINA, ADOLFO y SANTIAGO DEL ESTERO",Comuna 1,Point (107198.03031731 102023.53206745),-58.38481975,-34.61100424,MOTO-PASAJEROS,MOTO,PASAJEROS,107198.03031731,102023.53206745,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Martes
2018-0138,PASAJERO_ACOMPAÑANTE,FEMENINO,79,2018-12-21,Entre 61-80,1.0,2018-12-21,2018.0,12.0,21.0,09:30:00,9.0,Bermudez 1893,CALLE,BERMUDEZ,,BERMUDEZ 1893,Comuna 10,Point (95944.83421152 100945.68379559),-58.50751833,-34.62073702,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,95944.83421152,100945.68379559,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Viernes
2018-0139,PASAJERO_ACOMPAÑANTE,MASCULINO,28,2018-12-24, Entre 21- 40,1.0,2018-12-22,2018.0,12.0,22.0,06:30:00,6.0,Santander 1974,CALLE,SANTANDER,,SANTANDER 1974,Comuna 7,Point (101510.09611838 98933.71958961),-58.44682986,-34.63888084,MOTO-MOTO,MOTO,MOTO,101510.09611838,98933.71958961,FLORES - PARQUE CHACABUCO,Sabado
2018-0140,CONDUCTOR,MASCULINO,78,2018-12-22,Entre 61-80,1.0,2018-12-22,2018.0,12.0,22.0,08:05:00,8.0,Julieta Lanteri 1400,CALLE,LANTERI JULIETA,,LANTERI JULIETA 1400,Comuna 1,Point (109469.86887005 101709.86665960),-58.3600465,-34.61381341,AUTO-AUTO,AUTO,AUTO,109469.86887005,101709.8666596,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Sabado
2018-0141,PEATON,MASCULINO,75,2018-12-24,Entre 61-80,1.0,2018-12-22,2018.0,12.0,22.0,17:40:00,17.0,Maza y Av. Independencia,AVENIDA,MAZA,INDEPENDENCIA AV.,MAZA e INDEPENDENCIA AV.,Comuna 5,Point (104420.68512694 100931.98574919),-58.41509546,-34.62085945,PEATON-MOTO,PEATON,MOTO,104420.68512694,100931.98574919,ALMAGRO - BOEDO,Sabado
2018-0142,PASAJERO_ACOMPAÑANTE,MASCULINO,32,2019-01-01, Entre 21- 40,1.0,2018-12-25,2018.0,12.0,25.0,13:30:00,13.0,"PAZ, GRAL. AV. 5172",GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 5172",Comuna 12,Point (95716.93710226 106295.47905158),-58.50997604,-34.57251072,CARGAS-PASAJEROS,CARGAS,PASAJEROS,95716.93710226,106295.47905158,COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA,Martes
2018-0143,CONDUCTOR,MASCULINO,22,2018-12-29, Entre 21- 40,1.0,2018-12-29,2018.0,12.0,29.0,05:25:00,5.0,"Olivera Av. y Alberdi, Juan Bautista Av.",AVENIDA,OLIVERA AV.,"ALBERDI, JUAN BAUTISTA AV.","OLIVERA AV. y ALBERDI, JUAN BAUTISTA AV.",Comuna 10,Point (97912.79273192 98756.38729095),-58.48606475,-34.64047818,MOTO-AUTO,MOTO,AUTO,97912.79273192,98756.38729095,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Sabado
2019-0001,CONDUCTOR,MASCULINO,25,2019-01-08, Entre 21- 40,1.0,2019-01-08,2019.0,1.0,8.0,08:30:00,8.0,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,"CASTILLO, RAMON S., PRES. AV.",CALLE 12 (NO OFICIAL),"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",Comuna 2,Point (107160.34141948 105678.38284277),-58.38526125,-34.5780581,MOTO-CARGAS,MOTO,CARGAS,107160.34141948,105678.38284277,RECOLETA,Martes
2019-0002,CONDUCTOR,MASCULINO,32,2019-01-09, Entre 21- 40,1.0,2019-01-09,2019.0,1.0,9.0,04:00:00,4.0,"CASTAÑARES AV. Y MORENO, PERITO AV.",AVENIDA,CASTA?ARES AV.,"MORENO, PERITO AV.","CASTAÃ‘ARES AV. y MORENO, PERITO AV.",Comuna 7,Point (100794.20933352 97609.18063839),-58.45463662,-34.65082149,AUTO-CARGAS,AUTO,CARGAS,100794.20933352,97609.18063839,FLORES - PARQUE CHACABUCO,Miercoles
2019-0003,CONDUCTOR,MASCULINO,23,2019-01-12, Entre 21- 40,1.0,2019-01-12,2019.0,1.0,12.0,08:00:00,8.0,SAN MARTIN AV. Y TERRADA,AVENIDA,SAN MARTIN AV.,TERRADA,SAN MARTIN AV. y TERRADA,Comuna 15,Point (97439.07314838 103559.40773606),-58.49121672,-34.59718073,MOTO-AUTO,MOTO,AUTO,97439.07314838,103559.40773606,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Sabado
2019-0004,CONDUCTOR,MASCULINO,71,2019-01-14,Entre 61-80,1.0,2019-01-14,2019.0,1.0,14.0,19:58:00,19.0,"PERON, EVA AV. Y MEDINA",AVENIDA,"PERON, EVA AV.",MEDINA,"PERON, EVA AV. y MEDINA",Comuna 9,Point (99087.21233087 97384.56622913),-58.47325712,-34.65284605,AUTO-PASAJEROS,AUTO,PASAJEROS,99087.21233087,97384.56622913,LINIERS - MATADEROS - PARQUE AVELLANEDA,Lunes
2019-0005,CONDUCTOR,MASCULINO,43,2019-01-19,Entre 41-60,1.0,2019-01-19,2019.0,1.0,19.0,12:00:00,12.0,"JUSTO, JUAN B. AV. Y ALVAREZ JONTE AV.",AVENIDA,"JUSTO, JUAN B. AV.",ALVAREZ JONTE AV.,"JUSTO, JUAN B. AV. y ALVAREZ JONTE AV.",Comuna 10,Point (94701.87719386 99493.36109269),-58.52108101,-34.63382309,MOTO-CARGAS,MOTO,CARGAS,94701.87719386,99493.36109269,FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL,Sabado
2019-0006,PEATON,FEMENINO,12,2019-01-23,Menos de 20,1.0,2019-01-23,2019.0,1.0,23.0,05:45:00,5.0,"OBLIGADO RAFAEL, AV. COSTANERA 4650",AVENIDA,"OBLIGADO RAFAEL, AV.COSTANERA",,"OBLIGADO RAFAEL, AV.COSTANERA 4650",Comuna 14,Point (104292.73762877 108227.37900690),-58.41652702,-34.55509606,PEATON-AUTO,PEATON,AUTO,104292.73762877,108227.3790069,PALERMO,Miercoles
2019-0007,CONDUCTOR,MASCULINO,35,2019-01-26, Entre 21- 40,1.0,2019-01-26,2019.0,1.0,26.0,19:34:00,19.0,"MITRE, BARTOLOME Y YATAY",CALLE,"MITRE, BARTOLOME",YATAY,"MITRE, BARTOLOME y YATAY",Comuna 5,Point (103153.61467028 102057.67908768),-58.42891604,-34.6107166,MOTO-AUTO,MOTO,AUTO,103153.61467028,102057.67908768,ALMAGRO - BOEDO,Sabado
2019-0008,CONDUCTOR,MASCULINO,42,2019-01-31,Entre 41-60,1.0,2019-01-30,2019.0,1.0,30.0,22:45:00,22.0,"PAZ, GRAL. AV. 16080",GRAL PAZ,"PAZ, GRAL. AV.",,"PAZ, GRAL. AV. 16080",Comuna 8,Point (98650.97430792 93088.91481914),-58.47802293,-34.69156793,MULTIPLE,MOTO,MULTIPLE,98650.97430792,93088.91481914,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Miercoles
2019-0009,CONDUCTOR,MASCULINO,34,2019-01-31, Entre 21- 40,1.0,2019-01-31,2019.0,1.0,31.0,14:55:00,14.0,CHACABUCO Y SAN JUAN AV.,AVENIDA,CHACABUCO,SAN JUAN AV.,CHACABUCO y SAN JUAN AV.,Comuna 1,Point (108038.17400278 100802.81492813),-58.37564821,-34.62200207,MOTO-AUTO,MOTO,AUTO,108038.17400278,100802.81492813,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Jueves
2019-0010,PEATON,MASCULINO,0,2019-02-02,Menos de 20,2.0,2019-02-02,2019.0,2.0,2.0,07:50:00,7.0,DEL LIBERTADOR AV. 4100,AVENIDA,DEL LIBERTADOR AV.,,DEL LIBERTADOR AV. 4100,Comuna 14,Point (103359.87920798 106617.17056502),-58.42668489,-34.56961468,PEATON-AUTO,PEATON,AUTO,103359.87920798,106617.17056502,PALERMO,Sabado
2019-0010,PEATON,MASCULINO,59,2019-02-02,Entre 41-60,2.0,2019-02-02,2019.0,2.0,2.0,07:50:00,7.0,DEL LIBERTADOR AV. 4100,AVENIDA,DEL LIBERTADOR AV.,,DEL LIBERTADOR AV. 4100,Comuna 14,Point (103359.87920798 106617.17056502),-58.42668489,-34.56961468,PEATON-AUTO,PEATON,AUTO,103359.87920798,106617.17056502,PALERMO,Sabado
2019-0011,PEATON,MASCULINO,0,2019-02-10,Menos de 20,1.0,2019-02-10,2019.0,2.0,10.0,01:00:00,1.0,"PAZ, GRAL. AV. Y ALBERDI, JUAN BAUTISTA AV.",GRAL PAZ,"PAZ, GRAL. AV.","ALBERDI, JUAN BAUTISTA AV.","PAZ, GRAL. AV. y ALBERDI, JUAN BAUTISTA AV.",Comuna 9,Point (94949.53051500 96309.49139706),-58.5183993,-34.66252488,PEATON-AUTO,PEATON,AUTO,94949.530515,96309.49139706,LINIERS - MATADEROS - PARQUE AVELLANEDA,Domingo
2019-0012,CONDUCTOR,MASCULINO,31,2019-02-20, Entre 21- 40,1.0,2019-02-17,2019.0,2.0,17.0,03:16:00,3.0,"CASTAÑARES AV. Y GORDILLO, TIMOTEO",AVENIDA,CASTA?ARES AV.,"GORDILLO, TIMOTEO","CASTAÃ‘ARES AV. y GORDILLO, TIMOTEO",Comuna 8,Point (98072.98959434 94742.80804806),-58.48432691,-34.67665828,MOTO-AUTO,MOTO,AUTO,98072.98959434,94742.80804806,VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI,Domingo
2019-0013,PEATON,MASCULINO,39,2019-03-02, Entre 21- 40,1.0,2019-02-20,2019.0,2.0,20.0,07:30:00,7.0,SALVIGNY Y MOM,CALLE,SALVIGNY,MOM,SALVIGNY y MOM,Comuna 7,Point (102701.07793891 98301.55899449),-58.4338383,-34.64457699,PEATON-AUTO,PEATON,AUTO,102701.07793891,98301.55899449,FLORES - PARQUE CHACABUCO,Miercoles
2019-0014,CONDUCTOR,MASCULINO,69,2019-02-20,Entre 61-80,1.0,2019-02-20,2019.0,2.0,20.0,17:30:00,17.0,"LAMARCA, EMILIO 5402",CALLE,"LAMARCA, EMILIO",,"LAMARCA, EMILIO 5402",Comuna 11,Point (95105.42229190 104734.49416290),-58.51664939,-34.58657938,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,95105.4222919,104734.4941629,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Miercoles
2019-0015,CONDUCTOR,MASCULINO,21,2019-02-23, Entre 21- 40,1.0,2019-02-23,2019.0,2.0,23.0,06:57:00,6.0,SAN MARTIN AV. 5638,AVENIDA,SAN MARTIN AV.,,SAN MARTIN AV. 5638,Comuna 11,Point (96988.34526261 103575.43345979),-58.49613012,-34.59703502,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,96988.34526261,103575.43345979,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Sabado
2019-0016,CONDUCTOR,MASCULINO,40,2019-02-24,Entre 41-60,1.0,2019-02-24,2019.0,2.0,24.0,02:00:00,2.0,"CARRILLO, RAMON, DR. Y FINOCHIETTO ENRIQUE DR.",CALLE,"CARRILLO, RAMON, DR.",FINOCHIETTO ENRIQUE DR.,"CARRILLO, RAMON, DR. y FINOCHIETTO ENRIQUE DR.",Comuna 4,Point (107350.48403234 99520.90259673),-58.38313603,-34.63356284,MOTO-PASAJEROS,MOTO,PASAJEROS,107350.48403234,99520.90259673,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Domingo
2019-0017,CONDUCTOR,MASCULINO,22,2019-03-07, Entre 21- 40,1.0,2019-03-03,2019.0,3.0,3.0,07:00:00,7.0,MEXICO Y PICHINCHA,CALLE,MEXICO,PICHINCHA,MEXICO y PICHINCHA,Comuna 3,Point (105883.57359899 101434.40486977),-58.39914719,-34.61632317,AUTO-PASAJEROS,AUTO,PASAJEROS,105883.57359899,101434.40486977,BALVANERA - SAN CRISTOBAL,Domingo
