Id,Rol,Sexo,Edad,Fecha fallecimiento,Rango edad,Num víctimas,Fecha,Año,Mes,Día,Hora completa,Hora,Lugar del hecho,Tipo de calle,Calle,Cruce,Dirección normalizada,Comuna,Xy (caba),Pos x,Pos y,Participantes,Victima,Acusado,Coordenada x,Coordenada y,Barrios,Día semana
2017-0147,CONDUCTOR,MASCULINO,49,2017-11-28,Entre 41-60,1.0,2017-11-28,2017.0,11.0,28.0,11:15:00,11.0,AV. GRAL. PAZ Y AV. EVA PERON,GRAL PAZ,"PAZ, GRAL. AV.","PERON, EVA AV.","PAZ, GRAL. AV. y PERON, EVA AV.",Comuna 9,Point (96405.76679348 94981.38013791),-58.5025179,-34.67450313,MOTO-AUTO,MOTO,AUTO,96405.76679348,94981.38013791,LINIERS - MATADEROS - PARQUE AVELLANEDA,Martes
2017-0148,PEATON,FEMENINO,82,2017-11-29,Más de 80,1.0,2017-11-29,2017.0,11.0,29.0,10:45:00,10.0,AV. SAN JUAN Y LA RIOJA,AVENIDA,SAN JUAN AV.,LA RIOJA,SAN JUAN AV. y LA RIOJA,Comuna 3,Point (105155.42991407 100540.06938064),-58.40708125,-34.62438894,PEATON-PASAJEROS,PEATON,PASAJEROS,105155.42991407,100540.06938064,BALVANERA - SAN CRISTOBAL,Miercoles
2017-0149,PEATON,MASCULINO,13,2017-11-30,Menos de 20,1.0,2017-11-30,2017.0,11.0,30.0,12:20:00,12.0,AV. PASEO COLON Y MEXICO,AVENIDA,PASEO COLON AV.,MEXICO,PASEO COLON AV. y MEXICO,Comuna 1,Point (108605.31247489 101604.53195530),-58.36947198,-34.61477051,PEATON-PASAJEROS,PEATON,PASAJEROS,108605.31247489,101604.5319553,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Jueves
2017-0150,PEATON,MASCULINO,56,2017-12-04,Entre 41-60,1.0,2017-12-04,2017.0,12.0,4.0,01:15:00,1.0,AV. RIVADAVIA Y MIRALLA,AVENIDA,RIVADAVIA AV.,MIRALLA,RIVADAVIA AV. y MIRALLA,Comuna 9,Point (95589.03838155 98881.22999034),-58.51140889,-34.63934531,PEATON-AUTO,PEATON,AUTO,95589.03838155,98881.22999034,LINIERS - MATADEROS - PARQUE AVELLANEDA,Lunes
2017-0151,PEATON,MASCULINO,0,2017-12-04,Menos de 20,1.0,2017-12-04,2017.0,12.0,4.0,02:15:00,2.0,VIEYTES Y LUJAN,CALLE,VIEYTES,LUJAN,VIEYTES y LUJAN,Comuna 4,Point (108130.20782757 97076.54120716),-58.37460912,-34.65559133,PEATON-PASAJEROS,PEATON,PASAJEROS,108130.20782757,97076.54120716,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Lunes
2017-0152,CICLISTA,MASCULINO,19,2017-12-06,Menos de 20,1.0,2017-12-06,2017.0,12.0,6.0,17:30:00,17.0,CACHI Y TRAFUL,CALLE,CACHI,TRAFUL,CACHI y TRAFUL,Comuna 4,Point (104752.14395609 97617.14934540),-58.41146277,-34.65073916,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,104752.14395609,97617.1493454,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Miercoles
2017-0153,PASAJERO_ACOMPAÑANTE,MASCULINO,0,2017-12-12,Menos de 20,2.0,2017-12-11,2017.0,12.0,11.0,02:00:00,2.0,ROSARIO Y AV. LA PLATA,AVENIDA,ROSARIO,LA PLATA AV.,ROSARIO y LA PLATA AV.,Comuna 6,Point (103186.65733155 101217.09689755),-58.42855267,-34.61829385,MOTO-PASAJEROS,MOTO,PASAJEROS,103186.65733155,101217.09689755,CABALLITO,Lunes
2017-0153,CONDUCTOR,MASCULINO,30,2017-12-12, Entre 21- 40,2.0,2017-12-11,2017.0,12.0,11.0,02:00:00,2.0,ROSARIO Y AV. LA PLATA,AVENIDA,ROSARIO,LA PLATA AV.,ROSARIO y LA PLATA AV.,Comuna 6,Point (103186.65733155 101217.09689755),-58.42855267,-34.61829385,MOTO-PASAJEROS,MOTO,PASAJEROS,103186.65733155,101217.09689755,CABALLITO,Lunes
2017-0154,PEATON,MASCULINO,76,2017-12-11,Entre 61-80,1.0,2017-12-11,2017.0,12.0,11.0,09:15:00,9.0,AV. ENTRE RIOS Y AV. CASEROS ,AVENIDA,ENTRE RIOS AV.,CASEROS AV.,ENTRE RIOS AV. y CASEROS AV.,Comuna 4,Point (106688.43418876 99459.27505947),-58.39035581,-34.63412287,PEATON-PASAJEROS,PEATON,PASAJEROS,106688.43418876,99459.27505947,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Lunes
2017-0155,SD,MASCULINO,77,,Entre 61-80,1.0,2017-12-12,2017.0,12.0,12.0,21:25:41,21.0,AV. RIVADAVIA 6350,AVENIDA,RIVADAVIA AV.,,RIVADAVIA AV. 6350,Comuna 7,Point (100674.98109200 100299.64949548),-58.45593915,-34.62656868,SD-MOTO,SD,MOTO,100674.981092,100299.64949548,FLORES - PARQUE CHACABUCO,Martes
2017-0157,CONDUCTOR,MASCULINO,53,2017-12-17,Entre 41-60,1.0,2017-12-17,2017.0,12.0,17.0,09:02:00,9.0,AV. GRAL. PAZ Y HUMAITA,GRAL PAZ,"PAZ, GRAL. AV.",HUMAITA,"PAZ, GRAL. AV. y HUMAITA",Comuna 9,Point (94007.62506099 98145.35456663),-58.52866211,-34.64597065,AUTO-PASAJEROS,AUTO,PASAJEROS,94007.62506099,98145.35456663,LINIERS - MATADEROS - PARQUE AVELLANEDA,Domingo
2017-0158,CONDUCTOR,MASCULINO,32,2017-12-18, Entre 21- 40,1.0,2017-12-18,2017.0,12.0,18.0,21:30:00,21.0,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,GRAL PAZ,GUALEGUAYCHU,"PAZ, GRAL. AV.","GUALEGUAYCHU y PAZ, GRAL. AV.",Comuna 11,Point (94764.11350214 103903.32150283),-58.52037476,-34.59407024,MOTO-AUTO,MOTO,AUTO,94764.11350214,103903.32150283,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Lunes
2017-0159,CONDUCTOR,MASCULINO,27,2017-12-20, Entre 21- 40,1.0,2017-12-20,2017.0,12.0,20.0,04:31:27,4.0,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,"CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",Comuna 1,Point (106817.01972475 101248.18030272),-58.38896772,-34.61799615,MOTO-AUTO,MOTO,AUTO,106817.01972475,101248.18030272,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Miercoles
2017-0160,PEATON,FEMENINO,30,2017-12-22, Entre 21- 40,1.0,2017-12-22,2017.0,12.0,22.0,13:15:00,13.0,AV. NAZCA 365,AVENIDA,NAZCA AV.,,NAZCA AV. 365,Comuna 7,Point (99317.63492514 100172.19114010),-58.47074114,-34.62771756,PEATON-MOTO,PEATON,MOTO,99317.63492514,100172.1911401,FLORES - PARQUE CHACABUCO,Viernes
2017-0161,PEATON,FEMENINO,30,2017-12-26, Entre 21- 40,1.0,2017-12-26,2017.0,12.0,26.0,15:30:00,15.0,AV. EVA PERON 5249,AVENIDA,"PERON, EVA AV.",,"PERON, EVA AV. 5249",Comuna 9,Point (98285.13000363 96624.14779705),-58.48200819,-34.65969965,PEATON-AUTO,PEATON,AUTO,98285.13000363,96624.14779705,LINIERS - MATADEROS - PARQUE AVELLANEDA,Martes
2018-0001,PEATON,MASCULINO,83,2018-01-02,Más de 80,1.0,2018-01-01,2018.0,1.0,1.0,22:50:00,22.0,San Juan Av. Y Rincón,AVENIDA,SAN JUAN AV.,RINCON,SAN JUAN AV. y RINCON,Comuna 3,Point (106229.70400707 100696.43939679),-58.39536773,-34.62297346,PEATON-MOTO,PEATON,MOTO,106229.70400707,100696.43939679,BALVANERA - SAN CRISTOBAL,Lunes
2018-0002,CICLISTA,FEMENINO,26,2018-01-03, Entre 21- 40,1.0,2018-01-03,2018.0,1.0,3.0,16:40:00,16.0,Peru 937,CALLE,PERU,,PERU 937,Comuna 1,Point (108138.18410245 101140.78821350),-58.37456088,-34.61895467,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,108138.18410245,101140.7882135,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Miercoles
2018-0003,PEATON,FEMENINO,58,2018-01-05,Entre 41-60,1.0,2018-01-05,2018.0,1.0,5.0,10:12:00,10.0,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,"PUEYRREDON, HONORIO, DR. AV.",GALICIA,"PUEYRREDON, HONORIO, DR. AV. y GALICIA",Comuna 15,Point (101348.13972450 102808.02053976),-58.44860217,-34.60395657,MULTIPLE,PEATON,MULTIPLE,101348.1397245,102808.02053976,AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR,Viernes
2018-0004,CONDUCTOR,MASCULINO,39,2018-01-09, Entre 21- 40,1.0,2018-01-09,2018.0,1.0,9.0,09:40:00,9.0,Del Libertador Av. y Manzanares,AVENIDA,DEL LIBERTADOR AV.,MANZANARES,DEL LIBERTADOR AV. y MANZANARES,Comuna 13,Point (100183.96103971 109533.84269558),-58.46129513,-34.54332766,MULTIPLE,MOTO,MULTIPLE,100183.96103971,109533.84269558,BELGRANO - COLEGIALES - NUÃ‘EZ,Martes
2018-0005,PEATON,MASCULINO,54,2018-01-09,Entre 41-60,1.0,2018-01-09,2018.0,1.0,9.0,22:30:00,22.0,Paseo Colon Av. 1019,AVENIDA,PASEO COLON AV.,,PASEO COLON AV. 1019,Comuna 1,Point (108641.50518777 101075.93727953),-58.36907201,-34.61953517,PEATON-PASAJEROS,PEATON,PASAJEROS,108641.50518777,101075.93727953,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Martes
2018-0006,CICLISTA,FEMENINO,45,2018-01-10,Entre 41-60,1.0,2018-01-10,2018.0,1.0,10.0,21:15:00,21.0,Valle y Barco Centenera Del,CALLE,VALLE,BARCO CENTENERA DEL,VALLE y BARCO CENTENERA DEL,Comuna 6,Point (102079.59903748 100474.45881577),-58.44062219,-34.62499107,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,102079.59903748,100474.45881577,CABALLITO,Miercoles
2018-0007,CONDUCTOR,MASCULINO,46,2018-01-11,Entre 41-60,1.0,2018-01-11,2018.0,1.0,11.0,02:30:00,2.0,AU Perito Moreno  KM 0.6,AUTOPISTA,AUTOPISTA PERITO MORENO,,AUTOPISTA PERITO MORENO KM. 0.6,Comuna 9,Point (94340.14761734 99250.24722124),-58.52502765,-34.63601265,AUTO-AUTO,AUTO,AUTO,94340.14761734,99250.24722124,LINIERS - MATADEROS - PARQUE AVELLANEDA,Jueves
2018-0008,CONDUCTOR,FEMENINO,32,2018-01-12, Entre 21- 40,1.0,2018-01-12,2018.0,1.0,12.0,17:50:00,17.0,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,"HUERGO, ING. AV.",INDEPENDENCIA AV.,"HUERGO, ING. AV. e INDEPENDENCIA AV.",Comuna 1,Point (108868.80749430 101370.51785663),-58.36659655,-34.61687778,MOTO-CARGAS,MOTO,CARGAS,108868.8074943,101370.51785663,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Viernes
